archetype,market_id,day_ordinal,day_utc,day_start_utc,day_end_exclusive_utc,day_start_block,day_end_block_exclusive,status,opening_event_sequence,closing_event_sequence,opening_total_supply_assets,opening_total_supply_shares,opening_total_borrow_assets,opening_total_borrow_shares,opening_total_collateral_assets,closing_total_supply_assets,closing_total_supply_shares,closing_total_borrow_assets,closing_total_borrow_shares,closing_total_collateral_assets,total_event_count,supply_event_count,withdraw_event_count,borrow_event_count,repay_event_count,supply_collateral_event_count,withdraw_collateral_event_count,liquidate_event_count,accrue_interest_event_count,supply_assets_in,supply_shares_minted,withdraw_assets_out,withdraw_shares_burned,borrow_assets_out,borrow_shares_minted,repay_assets_in,repay_shares_burned,collateral_assets_in,collateral_assets_withdrawn,accrued_interest_assets,accrued_fee_shares,liquidation_repaid_assets,liquidation_repaid_shares,liquidation_seized_collateral_assets,liquidation_bad_debt_assets,liquidation_bad_debt_shares,first_event_block,last_event_block
accepted_drip_market,0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,55,2025-09-02,2025-09-02T00:00:00Z,2025-09-03T00:00:00Z,374730012,375075967,active,0,15,0,0,0,0,0,1958414,1958412041586,1000001,1000000000000,2000000000000000000,15,2,4,1,0,1,0,0,7,2488273536,2488271048731438,2486315123,2486312636689852,1000000,1000000000000,0,0,2000000000000000000,0,1,0,0,0,0,0,0,374972521,375069646
accepted_drip_market,0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,13507,13526,159951830753,156736567246141807,144340729821,141079545271761766,147776116649400266701895,157585923086,154399698805679532,144459904037,141177276324145613,147863220997696124634400,19,4,4,1,0,1,0,0,9,7938265261,7777997325403103,10323347144,10114865765865378,100000000,97731052383847,0,0,87104348295857932505,0,19174216,0,0,0,0,0,0,425786838,425916691
accepted_drip_market,0x1a926ab8add08dca634f8d6cecd8c866e166a4affc65801beda9f239d21b622a,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,20533,20533,11775967095,10886932023322276,10019832881,9162205582352351,12249690678194015252073,11775967095,10886932023322276,10019832881,9162205582352351,12249690678194015252073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,183,2026-01-08,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,419015258,419361458,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,184,2026-01-09,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,419361458,419707335,active,0,7,0,0,0,0,0,1001000,1001000000000,1000000,1000000000000,891,7,2,0,1,0,1,0,0,3,1001000,1001000000000,0,0,1000000,1000000000000,0,0,891,0,0,0,0,0,0,0,0,419628131,419628149
accepted_drip_market,0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,202,2026-01-27,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,425581371,425927717,active,85,87,1624421,1618832276975,1003913,1000000000000,891,1535097,1529723303682,1004011,1000000000000,891,2,0,1,0,0,0,0,0,1,0,0,89422,89108973293,0,0,0,0,0,0,98,0,0,0,0,0,0,425755451,425755451
accepted_drip_market,0x1d094624063756fc61aaf061c7da056aebe3b3ad0ae0395b22e00db6c074de7c,404,2026-08-17,2026-08-17T00:00:00Z,2026-08-18T00:00:00Z,495303648,495647034,active,2352,2358,16875946548,16540252433499893,14062279738,13741244571591504,8090007,16878733647,16540252433499893,14055054209,13731462465722316,8085816,6,0,0,0,2,0,2,0,2,0,0,0,0,0,0,10012628,9782105869188,0,4191,2787099,0,0,0,0,0,0,495355678,495356473
accepted_drip_market,0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,0,2025-07-09,2025-07-09T13:00:00Z,2025-07-10T00:00:00Z,355887376,356045737,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
accepted_drip_market,0x209fa1520640f664f59f7c1f955d52e8b81ead826edf439b48254d21d24b97a9,34,2025-08-12,2025-08-12T00:00:00Z,2025-08-13T00:00:00Z,367462279,367808426,inactive_pre_first_scoped_event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
